Initial Investment:		10000000
Recurring Monthly Investment:	4000
Start Month:			12
Start Year:			2023
End Month:			8
End Year:			2043
Annual Rate of Return (%):	100
--- Output ---
2023.12) 10000000/10000000/0/0%
2024.01) 10004000/10837333/833333/7.69%
2024.02) 10008000/11744444/1736444/14.79%
2024.03) 10012000/12727148/2715148/21.33%
2024.04) 10016000/13791744/3775744/27.38%
2024.05) 10020000/14945056/4925056/32.95%
2024.06) 10024000/16194477/6170477/38.1%
2024.07) 10028000/17548017/7520017/42.85%
2024.08) 10032000/19014352/8982352/47.24%
2024.09) 10036000/20602881/10566881/51.29%
2024.10) 10040000/22323788/12283788/55.03%
2024.11) 10044000/24188103/14144103/58.48%
2024.12) 10048000/26207779/16159779/61.66%
2025.01) 10052000/28395760/18343760/64.6%
2025.02) 10056000/30766073/20710073/67.31%
2025.03) 10060000/33333913/23273913/69.82%
2025.04) 10064000/36115739/26051739/72.13%
2025.05) 10068000/39129384/29061384/74.27%
2025.06) 10072000/42394166/32322166/76.24%
2025.07) 10076000/45931013/35855013/78.06%
2025.08) 10080000/49762598/39682598/79.74%
2025.09) 10084000/53913481/43829481/81.3%
2025.10) 10088000/58410271/48322271/82.73%
2025.11) 10092000/63281793/53189793/84.05%
2025.12) 10096000/68559276/58463276/85.27%
2026.01) 10100000/74276549/64176549/86.4%
2026.02) 10104000/80470261/70366261/87.44%
2026.03) 10108000/87180117/77072117/88.41%
2026.04) 10112000/94449126/84337126/89.29%
2026.05) 10116000/102323887/92207887/90.11%
2026.06) 10120000/110854877/100734877/90.87%
2026.07) 10124000/120096784/109972784/91.57%
2026.08) 10128000/130108849/119980849/92.22%
2026.09) 10132000/140955253/130823253/92.81%
2026.10) 10136000/152705524/142569524/93.36%
2026.11) 10140000/165434985/155294985/93.87%
2026.12) 10144000/179225233/169081233/94.34%
2027.01) 10148000/194164670/184016670/94.77%
2027.02) 10152000/210349059/200197059/95.17%
2027.03) 10156000/227882147/217726147/95.54%
2027.04) 10160000/246876326/236716326/95.88%
2027.05) 10164000/267453353/257289353/96.2%
2027.06) 10168000/289745132/279577132/96.49%
2027.07) 10172000/313894560/303722560/96.76%
2027.08) 10176000/340056440/329880440/97.01%
2027.09) 10180000/368398477/358218477/97.24%
2027.10) 10184000/399102350/388918350/97.45%
2027.11) 10188000/432364879/422176879/97.64%
2027.12) 10192000/468399286/458207286/97.82%
2028.01) 10196000/507436559/497240559/97.99%
2028.02) 10200000/549726939/539526939/98.14%
2028.03) 10204000/595541518/585337518/98.29%
2028.04) 10208000/645173977/634965977/98.42%
2028.05) 10212000/698942476/688730476/98.54%
2028.06) 10216000/757191682/746975682/98.65%
2028.07) 10220000/820294989/810074989/98.75%
2028.08) 10224000/888656904/878432904/98.85%
2028.09) 10228000/962715647/952487647/98.94%
2028.10) 10232000/1042945950/1032713950/99.02%
2028.11) 10236000/1129862113/1119626113/99.09%
2028.12) 10240000/1224021289/1213781289/99.16%
2029.01) 10244000/1326027063/1315783063/99.23%
2029.02) 10248000/1436533318/1426285318/99.29%
2029.03) 10252000/1556248428/1545996428/99.34%
2029.04) 10256000/1685939797/1675683797/99.39%
